         11772 function calls (11651 primitive calls) in 14.384 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.001    0.000 C:\Python313\Lib\threading.py:955(start)
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:970(parse)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1351(_get_handles)
        1    0.000    0.000    0.000    0.000 {built-in method setValue}
     10/4    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:451(_parse_sub)
     10/4    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:511(_parse)
       63    0.000    0.000    0.000    0.000 C:\Python313\Lib\encodings\cp1252.py:22(decode)
      661    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      326    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       10    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
      214    0.000    0.000    0.000    0.000 C:\Python313\Lib\queue.py:267(_qsize)
       32    0.000    0.000    0.000    0.000 {built-in method setTextCursor}
      326    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:306(__exit__)
       84    0.000    0.000    0.000    0.000 {built-in method textCursor}
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:576(_code)
       54    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        2    0.000    0.000    0.000    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\utils.py:109(get_files_by_type)
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
  228/218    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       10    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:641(wait)
       48    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
     1621    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\video_worker.py:191(_cleanup_temp_audio)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:988(format)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:699(format)
  600/576    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       10    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:327(wait)
        1    0.000    0.000    0.000    0.000 {built-in method nt.remove}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1298(_close_pipe_fds)
    11/10    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:869(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
     24/4    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:37(_compile)
       63    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:631(formatTime)
        4    0.000    0.000    0.000    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\utils.py:33(has_enough_disk_space)
        1    0.000    0.000    0.000    0.000 <frozen os>:203(makedirs)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:1251(emit)
        6    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\shutil.py:1388(disk_usage)
       25    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:516(__exit__)
       96    0.000    0.000    0.000    0.000 <frozen os>:856(fsdecode)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:620(set)
        4    0.000    0.000    0.000    0.000 {built-in method nt._getdiskusage}
       91    0.000    0.000    0.000    0.000 C:\Python313\Lib\queue.py:271(_put)
      106    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
       84    0.000    0.000    0.000    0.000 {built-in method isChecked}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:1131(flush)
        5    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
        2    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        6    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:571(__exit__)
       84    0.000    0.000    0.000    0.000 C:\Python313\Lib\queue.py:275(_get)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:1628(makeRecord)
      134    0.000    0.000    0.000    0.000 {built-in method time.time}
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:153(__next__)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:428(notify_all)
        1    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:156(_candidate_tempdir_list)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:298(__init__)
       23    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1429(current_thread)
      326    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\main_ui.py:526(on_worker_progress)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:1594(findCaller)
      161    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:167(__getitem__)
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:514(_compile_info)
       22    0.000    0.000    0.000    0.000 <frozen ntpath>:99(join)
        1    0.000    0.000    0.000    0.000 {processEvents}
       18    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1430(_make_inheritable)
       10    0.000    0.000    0.000    0.000 {built-in method nt._path_isfile}
       11    0.000    0.000    0.000    0.000 <frozen ntpath>:222(split)
        1    0.000    0.000    0.000    0.000 {built-in method nt.close}
       54    0.000    0.000    0.000    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\terminal_widget.py:52(flush)
       16    0.000    0.000    0.000    0.000 <frozen ntpath>:243(splitext)
