         11772 function calls (11651 primitive calls) in 14.384 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 {built-in method sys.exception}
        3    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        9    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:431(_get_iscased)
        6    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        4    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:76(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:470(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1096(name)
        1    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:1758(getEffectiveLevel)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:440(__init__)
        6    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:345(__subclasshook__)
        4    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
        2    0.000    0.000    0.000    0.000 <frozen codecs>:189(__init__)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:568(__enter__)
        4    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:265(_cleanup)
        5    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1102(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method _thread._make_thread_handle}
        1    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:1354(disable)
        1    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1112(ident)


